0.1 HKD | jat1 hou4
0.25 HKD | ji6 hou4 bun3
0.5 HKD | ng5 hou4
0.75 HKD | cat1 hou4 bun3
1.00 HKD | jat1 man1
1.20 HKD | jat1 go3 ji6
2.50 HKD | loeng5 go3 bun3
3.75 HKD | saam1 go3 cat1 hou4 bun3
5.00 HKD | ng5 man1
9.99 HKD | gau2 go3 gau2 hou4 gau2
12.30 HKD | sap6 ji6 go3 saam1
25.80 HKD | ji6 sap6 ng5 go3 baat3
46.05 HKD | sei3 sap6 luk6 go3 ling4 ng5
77.77 HKD | cat1 sap6 cat1 go3 cat1 hou4 cat1
100 HKD | jat1 baak3 man1
235 HKD | ji6 baak3 saam1 sap6 ng5 man1
812 HKD | baat3 baak3 jat1 sap6 ji6 man1
1,200 HKD | jat1 cin1 ji6 baak3 man1
5,500 HKD | ng5 cin1 ng5 baak3 man1
10,000 HKD | jat1 maan6 man1
25,000 HKD | ji6 maan6 ng5 cin1 man1
48,600 HKD | sei3 maan6 baat3 cin1 luk6 baak3 man1
100,000 HKD | sap6 maan6 man1
250,000 HKD | ji6 sap6 maan6 ng5 cin1 man1
999,999 HKD | gau2 baak3 gau2 sap6 gau2 maan6 gau2 cin1 gau2 baak3 gau2 sap6 gau2 man1
1,000,000 HKD | jat1 baak3 maan6 man1
How much is this? | ni1 go3 gei2 cin2 aa3?
How much does that cost? | go2 go3 gei2 cin2 aa3?
How much is this one? | ni1 go3 jau5 gei2 do1 cin2 aa3?
How much for this shirt? | ni1 gin6 saam1 gei2 cin2 aa3?
It costs 25 dollars. | ji6 sap6 ng5 man1.
It's 3 dollars and 50 cents. | saam1 go3 bun3.
That costs 1 dollar only. | go2 go3 jat1 man1 zek1.
This apple is 12.3 dollars. | ni1 go3 ping4 gwo2 sap6 ji6 go3 saam1.
These two are 46 dollars and 5 cents. | ni1 loeng5 go3 sei3 sap6 luk6 go3 ling4 ng5.
It's 100 dollars. | jat1 baak3 man1.
It's very expensive. | hou2 gwai3 aa3.
It's very cheap. | hou2 peng4 aa3.
Can you make it cheaper? | ho2 m4 ho2 ji5 peng4 di1 aa3?
I'll buy it for 80 dollars. | ngo5 baai2 baat3 sap6 man1.
It's on sale for 50 dollars. | gam1 ci3 maai6 ng5 sap6 man1.
How much do you sell it for? | nei5 maai6 gei2 cin2 aa3?
We sell it for 2500 dollars. | ngo5 dei6 maai6 ji6 cin1 ng5 baak3 man1.
This one costs half a dollar. | ni1 go3 go3 bun3.
That thing costs 9 dollars and 99 cents. | go2 go3 gau2 go3 gau2 hou4 gau2.
How much does a cup of coffee cost? | jat1 bui1 gaa3 fe1 gei2 cin2 aa3?
A cup of coffee is 28 dollars. | jat1 bui1 gaa3 fe1 ji6 sap6 baat3 man1.
